N P K S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 logLik dim entropy
1000 10 1 0 0 0 0 0 0 0 0 0 0 -52709.922533430 90 0.000000000
1000 10 2 1 1 1 1 1 1 0 0 0 0 -52097.817672011 145 135.402523478
1000 10 3 1 1 1 1 1 1 0 0 0 0 -51502.821943830 200 86.099002272
1000 10 4 1 1 1 1 1 1 0 0 0 0 -50898.294638693 255 86.965565429
1000 10 5 1 1 1 1 1 1 0 0 0 0 -50365.312509871 310 74.274772712
1000 10 6 1 1 1 1 1 1 0 0 0 0 -50317.805066814 365 105.745968464
1000 10 7 1 1 1 1 1 1 0 0 0 0 -50268.419201488 420 119.324719453
1000 10 8 1 1 1 1 1 1 0 0 0 0 -50230.942890209 475 105.017410957
1000 10 9 1 1 1 1 1 1 0 0 0 0 -50161.187155175 530 156.184173836
1000 10 10 1 1 1 1 1 1 0 0 0 0 -50149.392921483 585 257.750078722
